station,long,lat
ASTOR PL,-73.99107,40.730054
CANAL ST,-74.000193,40.718803
50TH ST,-73.983849,40.761728
BERGEN ST,-73.97499915,40.68086214
PENNSYLVANIA AVE,-73.89488591,40.66471445
238TH ST,-73.90087,40.884667
CATHEDRAL PKWY (110TH ST),-73.95806671,40.80058156
KINGSTON - THROOP AVES,-73.940859,40.679919
65TH ST,-73.89878838,40.74971953
36TH ST,-73.92901818,40.75196004
DELANCEY ST - ESSEX ST,-73.9874094,40.71830606
VAN SICLEN AVE,-73.89165773,40.67802821
NORWOOD AVE,-73.879626,40.68152
104TH-102ND STS,-73.844435,40.695166
DEKALB AVE,-73.98177094,40.69064812
BEACH 105TH ST,-73.82758075,40.58326844
BEACH 90TH ST,-73.8136514,40.58809156
FREEMAN ST,-73.89175225,40.82998745
INTERVALE AVE,-73.89661738,40.82214213
182ND-183RD STS,-73.900741,40.856093
174TH-175TH STS,-73.910136,40.8459
167TH ST,-73.918432,40.833769
METS - WILLETS POINT,-73.845625,40.754622
JUNCTION BLVD,-73.869527,40.749145
FLUSHING - MAIN ST,-73.83003,40.7596
BUHRE AVE,-73.832569,40.84681
3RD AVE - 138TH ST,-73.926138,40.810476
CASTLE HILL AVE,-73.851222,40.834255
BROOKLYN BRIDGE - CITY HALL,-74.004131,40.713065
ZEREGA AVE,-73.847036,40.836488
GRAND CENTRAL - 42ND ST,-73.9767133,40.75180743
33RD ST,-73.982076,40.746081
96TH ST,-73.95107,40.785672
77TH ST,-73.959874,40.77362
CHAUNCEY ST,-73.91038357,40.6828513
UNION ST,-73.98311,40.67731567
ELMHURST AVE,-73.88203475,40.74237008
RALPH AVE,-73.920786,40.678822
PELHAM PKWY,-73.86748068,40.85719241
GUN HILL RD,-73.86613411,40.87783939
NEREID AVE (238 ST),-73.85431531,40.89828652
FRANKLIN AVE,-73.95809974,40.67076515
SIMPSON ST,-73.8930664,40.82397684
BRONX PARK EAST,-73.86835609,40.84876867
WINTHROP ST,-73.95007935,40.65665931
VAN SICLEN AVE,-73.88940492,40.66551796
149TH ST - GRAND CONCOURSE,-73.92738475,40.81830344
161ST ST - YANKEE STADIUM,-73.925692,40.82823033
