linename,station,flow,n,crime_rate
1,103 ST,10211425.5,211,2.06631287668896e-05
1,116 ST-COLUMBIA,10466330.5,102,9.74553593544557e-06
1,125 ST,8760781.75,1437,0.000164026458026991
1,137 ST CITY COL,13976250.125,521,3.72775240383014e-05
1,145 ST,21332312.8125,792,3.71267760303944e-05
1,157 ST,11294293.125,193,1.70882761642509e-05
1,18 ST,6946631.75,545,7.84552887807821e-05
1,181 ST,10806772.5,316,2.92409227639427e-05
1,191 ST,8572317.375,202,2.35642232039968e-05
1,207 ST,5535402,181,3.26986188175674e-05
1,215 ST,2121461.75,54,2.54541473585371e-05
1,23 ST,13849705.25,2870,0.000207224626675719
1,231 ST,6327761.75,86,1.3590903608215e-05
1,238 ST,2904496,72,2.47891544694846e-05
1,28 ST,12274427.75,235,1.91454953979423e-05
1,50 ST,23811452.5,1879,7.8911607765213e-05
1,66 ST-LINCOLN,21590330.125,923,4.27506200533374e-05
1,79 ST,12408170.5,290,2.33716968992326e-05
1,86 ST,19696354.25,95,4.82322762853435e-06
1,CANAL ST,6143789.75,1061,0.00017269471176158
1,CATHEDRAL PKWY,11060120.25,308,2.7847798490256e-05
1,CHRISTOPHER ST,64407838.1875,176,2.73258666884052e-06
1,CITY / BUS,156197502.375,130,8.32279633306141e-07
1,DYCKMAN ST,6494462.75,237,3.64926259681757e-05
1,FRANKLIN ST,4151331.375,1035,0.000249317605969242
1,GROVE STREET,101777972.5,96,9.43229636452033e-07
1,HOUSTON ST,11480821.6875,85,7.4036512641378e-06
1,LACKAWANNA,199808432.875,6,3.00287626186108e-08
1,MARBLE HILL-225,3607118.5,74,2.05149900121108e-05
1,NEWARK BM BW,139174852.9375,306,2.19867306155816e-06
1,RECTOR ST,6639473.5,117,1.76218792047291e-05
1,SOUTH FERRY,14300260.25,6,4.19572783649165e-07
1,V.CORTLANDT PK,6089673.75,208,3.41561811911517e-05
1,WTC-CORTLANDT,13320808,52,3.90366710487832e-06
123,72 ST,37680190.375,34,9.02330897525355e-07
123,96 ST,40870528.875,913,2.2338834977946e-05
123,CHAMBERS ST,17325353.5,338,1.95089814473338e-05
1237NQRSW,TIMES SQ-42 ST,88020661.8125,1912,2.17221725061885e-05
123FLM,14 ST,19508515.5,1018,5.21823405784002e-05
1AC,168 ST,19678722.625,954,4.84787563796459e-05
2,WAKEFIELD/241,6445981.75,335,5.19703612254254e-05
23,116 ST,12202620.25,413,3.38451899295973e-05
23,125 ST,10012388.625,2900,0.000289641174410567
23,135 ST,9842404.125,545,5.53726501247479e-05
23,CENTRAL PK N110,9509973.25,951,0.000100000281283651
23,CLARK ST,4835655,105,2.17137078637744e-05
23,EASTN PKWY-MUSM,5999499.125,140,2.33352813431738e-05
23,GRAND ARMY PLAZ,5411393.25,105,1.94035057422596e-05
23,HOYT ST,7726544.3125,134,1.73428112983465e-05
23,PARK PLACE,2657411.625,38,1.42996288728887e-05
23,WALL ST,19669430.4375,81,4.11806535310614e-06
2345,FRANKLIN AV,8223646.5,750,9.12004182086377e-05
2345ACJZ,FULTON ST,108888579.84375,715,6.56634516701376e-06
2345BDNQR,ATL AV-BARCLAY,47118558.15625,1459,3.09644449467619e-05
2345R,BOROUGH HALL,27359423.125,484,1.76904314754261e-05
25,174 ST,5543641.75,392,7.07116400514157e-05
25,219 ST,2912444.75,127,4.36059774181124e-05
25,225 ST,2978745,146,4.90139303632906e-05
25,233 ST,3848888.5,98,2.54618963370854e-05
25,3 AV-149 ST,17180717.25,1239,7.21157319552535e-05
25,ALLERTON AV,4407642.25,191,4.3333825470976e-05
25,BRONX PARK EAST,2150660.5,112,5.20770247093858e-05
25,BURKE AV,2831412,136,4.80325717345268e-05
