station,remote_cnt,booth_cnt,line_name_all,division_all,long,lat
1 AVE,1,2,L,BMT,,
103 ST,3,3,"6,1,B,C","IRT,IND",,
103 ST-CORONA,1,1,7,IRT,,
104 ST,1,1,"J,Z",BMT,,
110 ST,1,2,6,IRT,,
110 ST-CATHEDRL,1,2,1,IRT,,
110 ST-CPN,1,1,"2,3",IRT,,
111 ST,2,2,"J,7","BMT,IRT",,
116 ST,3,6,"6,2,3,B,C","IRT,IND",,
116 ST-COLUMBIA,1,1,1,IRT,,
121 ST,1,1,"J,Z",BMT,,
125 ST,4,6,"1,A,C,B,D,4,5,6,2,3","IRT,IND",,
135 ST,2,5,"2,3,B,C","IRT,IND",,
137 ST-CITY COL,1,2,1,IRT,,
138 ST-3 AVE,1,1,6,IRT,,
138 ST-GR CONC,1,1,"4,5",IRT,,
14 ST,2,3,"1,2,3,F,L,M,A,C,E","IRT,IND",,
14 ST-6 AVE,1,4,"F,L,M,1,2,3",IND,,
14 ST-UNION SQ,1,6,"L,N,Q,R,4,5,6","BMT,IRT",,
145 ST,3,5,"A,B,C,D,1,3","IND,IRT",,
148 ST-LENOX,1,1,3,IRT,,
149 ST-3 AVE,1,2,"2,5",IRT,,
149 ST-GR CONC,1,2,"2,4,5",IRT,,
14TH STREET,1,1,1,PTH,,
15 ST-PROSPECT,1,2,"F,G",IND,,
155 ST,2,2,"B,D,C",IND,,
157 ST,1,2,1,IRT,,
161 ST-YANKEE,1,6,"B,D,4","IND,IRT",,
163 ST-AMSTERDM,1,1,C,IND,,
167 ST,2,3,"B,D,4","IND,IRT",,
168 ST-BROADWAY,1,3,"1,A,C","IRT,IND",,
169 ST,1,2,F,IND,,
170 ST,2,3,"4,B,D","IRT,IND",,
174-175 ST,1,2,"B,D",IND,,
174 ST,1,2,"2,5",IRT,,
175 ST,1,2,A,IND,,
176 ST,1,1,4,IRT,,
18 AVE,3,4,"F,D,N","IND,BMT",,
18 ST,1,2,1,IRT,,
181 ST,2,3,"A,1","IND,IRT",,
182-183 ST,1,1,"B,D",IND,,
183 ST,1,1,4,IRT,,
190 ST,1,1,A,IND,,
191 ST,1,1,1,IRT,,
2 AVE,1,2,F,IND,,
2 BDWY CUST SRV,1,1,"4,5",IRT,,
20 AVE,2,2,"D,N",BMT,,
207 ST,1,1,1,IRT,,
21 ST,1,1,F,IND,,
215 ST,1,1,1,IRT,,
219 ST,1,1,"2,5",IRT,,
22 AVE-BAY PKY,1,1,F,IND,,
225 ST,1,1,"2,5",IRT,,
23 ST,3,9,"C,E,6,1","IND,IRT",,
23 ST-5 AVE,1,2,"N,R",BMT,,
23 ST-6 AVE,2,2,"F,M",IND,,
231 ST,1,1,1,IRT,,
233 ST,1,1,"2,5",IRT,,
238 ST,1,1,1,IRT,,
242 ST,1,1,1,IRT,,
25 AVE,1,1,D,BMT,,
25 ST,2,2,R,BMT,,
28 ST,2,5,"6,1",IRT,,
28 ST-BROADWAY,1,2,"N,R",BMT,,
3 AVE,1,2,L,BMT,,
33 ST,1,4,6,IRT,,
33 ST/RAWSON ST,1,2,7,IRT,,
34 ST-HERALD SQ,2,5,"B,D,F,M,N,Q,R","IND,BMT",,
34 ST-PENN STA,4,14,"A,C,E,1,2,3","IND,IRT",,
36 ST,2,3,"D,N,R,M","BMT,IND",,
4 AVE,1,1,"D,F,G,M,N,R",IND,,
40 ST-LOWERY ST,1,1,7,IRT,,
42 ST-BRYANT PK,1,3,"B,D,F,M,7",IND,,
42 ST-GRD CNTRL,4,8,"4,5,6,7,S",IRT,,
42 ST-PA BUS TE,2,5,"A,C,E,N,Q,R,S,1,2,3,7",IND,,
42 ST-TIMES SQ,2,9,"1,2,3,7,A,C,E,N,Q,R,S","IRT,BMT",,
45 ST,1,1,R,BMT,,
46 ST,1,3,"M,R",IND,,
46 ST-BLISS ST,1,2,7,IRT,,
47-50 ST-ROCK,1,3,"B,D,F,M",IND,,
49 ST-7 AVE,1,4,"N,Q,R",BMT,,
5 AVE-53 ST,1,2,"E,M",IND,,
5 AVE-59 ST,1,2,"N,Q,R",BMT,,
5 AVE-BRYANT PK,1,2,"7,B,D,F,M",IRT,,
50 ST,3,5,"1,C,E,D","IRT,IND,BMT",,
51 ST,1,3,6,IRT,,
52 ST-LINCOLN,1,1,7,IRT,,
53 ST,1,1,R,BMT,,
55 ST,1,1,D,BMT,,
57 ST,1,1,F,IND,,
57 ST-7 AVE,1,2,"N,Q,R",BMT,,
59 ST,3,6,"4,5,6,N,Q,R","IRT,BMT",,
59 ST-COLUMBUS,1,3,"1,A,B,C,D","IRT,IND",,
6 AVE,1,1,"F,L,M,1,2,3",BMT,,
61 ST/WOODSIDE,1,1,7,IRT,,
63 DR-REGO PARK,1,2,"M,R",IND,,
65 ST,1,1,"M,R",IND,,
66 ST-LINCOLN,1,3,1,IRT,,
67 AVE,1,2,"M,R",IND,,
68ST-HUNTER COL,1,1,6,IRT,,
69 ST-FISK AVE,1,1,7,IRT,,
7 AV-PARK SLOPE,1,1,"F,G",IND,,
7 AVE,1,1,"B,Q",BMT,,
7 AVE-53 ST,1,2,"B,D,E",IND,,
71 ST,1,1,D,BMT,,
72 ST,2,3,"B,C,1,2,3","IND,IRT",,
74 ST-BROADWAY,1,1,"E,F,M,R,7",IRT,,
75 AVE,1,1,"E,F",IND,,
77 ST,2,3,"6,R","IRT,BMT",,
79 ST,2,3,"1,D","IRT,BMT",,
8 AVE,2,2,"A,C,E,L,N",BMT,,
8 ST-B'WAY NYU,1,2,"N,R",BMT,,
81 ST-MUSEUM,1,2,"B,C",IND,,
82 ST-JACKSON H,1,1,7,IRT,,
86 ST,5,10,"1,4,5,6,B,C,R,N","IRT,IND,BMT",,
9 AVE,1,1,D,BMT,,
9 ST,1,1,"D,F,G,M,N,R",BMT,,
90 ST-ELMHURST,1,1,7,IRT,,
96 ST,3,5,"6,1,2,3,B,C","IRT,IND",,
9TH STREET,1,1,1,PTH,,
ALABAMA AVE,1,1,J,BMT,-73.8985260015965,40.6769980000038
ALLERTON AVE,1,1,"2,5",IRT,-73.8672342285163,40.8654833779393
AQUEDUCT-N CNDT,1,1,A,IND,,
AQUEDUCT TRACK,1,1,A,IND,,
ASTOR PLACE,1,2,6,IRT,,
ATLANTIC AVE,2,4,"2,3,4,5,B,D,N,Q,R,L","IRT,BMT",-73.9030969995401,40.6753446664081
AVE H,1,1,"B,Q",BMT,-73.961517939425,40.6292083775897
AVE I,1,1,F,IND,-73.9760693317093,40.6250174401914
AVE J,1,1,"B,Q",BMT,-73.9606931624693,40.6250228199152
AVE M,1,1,"B,Q",BMT,-73.9592431052215,40.6173977444437
AVE N,1,2,F,IND,-73.9740485087314,40.6143567119088
AVE P,1,1,F,IND,-73.9730028152875,40.6088428089499
AVE U,3,3,"B,Q,N,F","BMT,IND",-73.9733764197489,40.5959248255175
AVE U,3,3,"B,Q,N,F","BMT,IND",-73.955811223163,40.5993089509548
AVE U,3,3,"B,Q,N,F","BMT,IND",-73.9790840009943,40.5972359999204
AVE X,1,1,F,IND,-73.9742659996891,40.5894496666253
BAY 50 ST,1,1,D,BMT,,
BAY PARKWAY,1,1,D,BMT,,
BAY PKY-22 AVE,1,2,N,BMT,,
BAY RIDGE-95 ST,1,2,R,BMT,,
BAY RIDGE AVE,1,1,R,BMT,-74.0233769995073,40.6349666668238
BAYCHESTER AVE,1,1,5,IRT,-73.8385909980215,40.8786630003731
BEACH 105 ST,1,1,"A,S",IND,,
BEACH 25 ST,1,1,A,IND,,
BEACH 36 ST,1,1,A,IND,,
BEACH 44 ST,1,1,A,IND,,
BEACH 60 ST,1,1,A,IND,,
BEACH 67 ST,1,1,A,IND,,
BEACH 90 ST,1,1,"A,S",IND,,
BEACH 98 ST,1,1,"A,S",IND,,
