"","CMPLNT_NUM","ADDR_PCT_CD","BORO_NM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","CRM_ATPT_CPTD_CD","HADEVELOPT","HOUSING_PSA","JURISDICTION_CODE","JURIS_DESC","KY_CD","LAW_CAT_CD","LOC_OF_OCCUR_DESC","OFNS_DESC","PARKS_NM","PATROL_BORO","PD_CD","PD_DESC","PREM_TYP_DESC","RPT_DT","STATION_NAME","SUSP_AGE_GROUP","SUSP_RACE","SUSP_SEX","TRANSIT_DISTRICT","VIC_AGE_GROUP","VIC_RACE","VIC_SEX","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lat_Lon","New.Georeferenced.Column"
"1",985806516,14,"MANHATTAN","09/25/2021","04:24:00","09/25/2021","04:33:00","COMPLETED","",NA,1,"N.Y. TRANSIT POLICE",236,"MISDEMEANOR","","DANGEROUS WEAPONS","","PATROL BORO MAN SOUTH",782,"WEAPONS, POSSESSION, ETC","TRANSIT - NYC SUBWAY","09/25/2021","42 STREET","","","",1,"UNKNOWN","UNKNOWN","E",988650,214286,40.754849215,-73.9841199909999,"(40.754849215000036, -73.98411999099994)","POINT (-73.98411999099994 40.754849215000036)"
"2",448567745,14,"MANHATTAN","09/22/2021","21:23:00","09/22/2021","21:28:00","COMPLETED","",NA,1,"N.Y. TRANSIT POLICE",113,"FELONY","","FORGERY","","PATROL BORO MAN SOUTH",729,"FORGERY,ETC.,UNCLASSIFIED-FELO","TRANSIT - NYC SUBWAY","09/22/2021","42 ST.-TIMES SQUARE","45-64","BLACK","M",1,"UNKNOWN","UNKNOWN","E",987866,214721,40.7560435350001,-73.986949544,"(40.75604353500006, -73.98694954399997)","POINT (-73.98694954399997 40.75604353500006)"
"3",104703870,103,"QUEENS","09/29/2021","10:10:00","09/29/2021","10:14:00","COMPLETED","",NA,1,"N.Y. TRANSIT POLICE",113,"FELONY","","FORGERY","","PATROL BORO QUEENS SOUTH",729,"FORGERY,ETC.,UNCLASSIFIED-FELO","TRANSIT - NYC SUBWAY","09/29/2021","PARSONS/ARCHER-JAMAICA CENTER","25-44","BLACK","M",20,"UNKNOWN","UNKNOWN","E",1039726,195270,40.702482133,-73.799922252,"(40.702482133000046, -73.799922252)","POINT (-73.799922252 40.702482133000046)"
"4",229485544,44,"BRONX","09/26/2021","15:44:00","09/26/2021","15:51:00","COMPLETED","",NA,1,"N.Y. TRANSIT POLICE",113,"FELONY","","FORGERY","","PATROL BORO BRONX",729,"FORGERY,ETC.,UNCLASSIFIED-FELO","TRANSIT - NYC SUBWAY","09/26/2021","161 ST.-YANKEE STADIUM","18-24","BLACK","M",11,"UNKNOWN","UNKNOWN","E",1004749,240880,40.8278199010001,-73.925930756,"(40.827819901000055, -73.92593075599996)","POINT (-73.92593075599996 40.827819901000055)"
"5",956425746,14,"MANHATTAN","09/26/2021","15:00:00","09/26/2021","18:22:00","COMPLETED","",NA,1,"N.Y. TRANSIT POLICE",351,"MISDEMEANOR","","CRIMINAL MISCHIEF & RELATED OF","","PATROL BORO MAN SOUTH",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","TRANSIT - NYC SUBWAY","09/26/2021","42 ST.-TIMES SQUARE","","","",1,"UNKNOWN","UNKNOWN","E",987866,214721,40.7560435350001,-73.986949544,"(40.75604353500006, -73.98694954399997)","POINT (-73.98694954399997 40.75604353500006)"
"6",569759723,18,"MANHATTAN","09/23/2021","04:09:00","09/23/2021","04:15:00","COMPLETED","",NA,1,"N.Y. TRANSIT POLICE",351,"MISDEMEANOR","","CRIMINAL MISCHIEF & RELATED OF","","PATROL BORO MAN SOUTH",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","TRANSIT - NYC SUBWAY","09/23/2021","7 AVENUE","","","",1,"UNKNOWN","UNKNOWN","D",989266,217247,40.762976076,-73.9818943779999,"(40.76297607600002, -73.98189437799994)","POINT (-73.98189437799994 40.76297607600002)"
"7",500754116,72,"BROOKLYN","09/24/2021","06:43:00","09/24/2021","06:50:00","COMPLETED","",NA,1,"N.Y. TRANSIT POLICE",121,"FELONY","","CRIMINAL MISCHIEF & RELATED OF","","PATROL BORO BKLYN SOUTH",269,"MISCHIEF,CRIMINAL,    UNCL 2ND","TRANSIT - NYC SUBWAY","09/24/2021","15 ST.-PROSPECT PARK","UNKNOWN","UNKNOWN","U",30,"UNKNOWN","UNKNOWN","D",989916,180044,40.6608622960001,-73.979579271,"(40.66086229600006, -73.97957927099996)","POINT (-73.97957927099996 40.66086229600006)"
"8",449899031,1,"MANHATTAN","09/25/2021","22:00:00","09/25/2021","22:10:00","COMPLETED","",NA,1,"N.Y. TRANSIT POLICE",578,"VIOLATION","","HARRASSMENT 2","","PATROL BORO MAN SOUTH",637,"HARASSMENT,SUBD 1,CIVILIAN","TRANSIT - NYC SUBWAY","09/25/2021","FULTON STREET","25-44","BLACK","M",2,"25-44","ASIAN / PACIFIC ISLANDER","F",982466,197787,40.709564416,-74.0064362809999,"(40.709564416000035, -74.00643628099994)","POINT (-74.00643628099994 40.709564416000035)"
"9",732676250,28,"MANHATTAN","09/29/2021","13:53:00","09/29/2021","13:56:00","COMPLETED","",NA,1,"N.Y. TRANSIT POLICE",235,"MISDEMEANOR","","DANGEROUS DRUGS","","PATROL BORO MAN NORTH",511,"CONTROLLED SUBSTANCE, POSSESSI","TRANSIT - NYC SUBWAY","09/29/2021","125 STREET","25-44","BLACK","M",3,"UNKNOWN","UNKNOWN","E",999342,233575,40.807780622,-73.945484727,"(40.807780622000045, -73.94548472699995)","POINT (-73.94548472699995 40.807780622000045)"
"10",968731511,26,"MANHATTAN","09/24/2021","18:18:00","09/24/2021","18:28:00","COMPLETED","",NA,1,"N.Y. TRANSIT POLICE",113,"FELONY","","FORGERY","","PATROL BORO MAN NORTH",729,"FORGERY,ETC.,UNCLASSIFIED-FELO","TRANSIT - NYC SUBWAY","09/24/2021","125 STREET","","","",3,"UNKNOWN","UNKNOWN","E",997374,234664,40.8107727670001,-73.9525915899999,"(40.81077276700007, -73.95259158999993)","POINT (-73.95259158999993 40.81077276700007)"
