time,distance,walking_distance,line,departure_stop,arrival_stop,num_stops,departure_time,arrival_time,route_num
2260.0,13666.0,501.0,A,168 St,125 St,5,1637301480,1637301960,1
2260.0,13666.0,501.0,D,125 St,7 Avenue Station,2,1637302050,1637302620,1
2260.0,13666.0,501.0,E,7 Avenue Station,Court Square-23 St,3,1637303010,1637303340,1
3460.0,15411.0,501.0,A,168 St,42 St - Port Authority Bus Terminal,15,1637301480,1637302950,2
3460.0,15411.0,501.0,E,42 St - Port Authority Bus Terminal,Court Square-23 St,5,1637304030,1637304540,2
2260.0,13666.0,501.0,A,168 St,125 St,5,1637302680,1637303160,3
2260.0,13666.0,501.0,D,125 St,7 Avenue Station,2,1637303370,1637303940,3
2260.0,13666.0,501.0,E,7 Avenue Station,Court Square-23 St,3,1637304210,1637304540,3
2260.0,13666.0,501.0,A,168 St,125 St,5,1637303880,1637304360,4
2260.0,13666.0,501.0,D,125 St,7 Avenue Station,2,1637304570,1637305140,4
2260.0,13666.0,501.0,E,7 Avenue Station,Court Square-23 St,3,1637305410,1637305740,4
