x1,cmplnt_num,addr_pct_cd,boro_nm,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_to_dt,cmplnt_to_tm,crm_atpt_cptd_cd,hadevelopt,housing_psa,jurisdiction_code,juris_desc,ky_cd,law_cat_cd,loc_of_occur_desc,ofns_desc,parks_nm,patrol_boro,pd_cd,pd_desc,prem_typ_desc,rpt_dt,station_name,susp_age_group,susp_race,susp_sex,transit_district,vic_age_group,vic_race,vic_sex,x_coord_cd,y_coord_cd,latitude,longitude,lat_lon,new_georeferenced_column,closest_station,closest_line,distance
1,985806516,14,MANHATTAN,09/25/2021,4:24:00,09/25/2021,4:33:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,236,MISDEMEANOR,,DANGEROUS WEAPONS,,PATROL BORO MAN SOUTH,782,"WEAPONS, POSSESSION, ETC",TRANSIT - NYC SUBWAY,09/25/2021,42 STREET,,,,1,UNKNOWN,UNKNOWN,E,988650,214286,40.75484922,-73.98411999,"(40.754849215000036, -73.98411999099994)",POINT (-73.98411999099994 40.754849215000036),42 ST-BRYANT PK,BDFM,1.56536499946655e-10
2,448567745,14,MANHATTAN,09/22/2021,21:23:00,09/22/2021,21:28:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,113,FELONY,,FORGERY,,PATROL BORO MAN SOUTH,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",TRANSIT - NYC SUBWAY,09/22/2021,42 ST.-TIMES SQUARE,45-64,BLACK,M,1,UNKNOWN,UNKNOWN,E,987866,214721,40.75604354,-73.98694954,"(40.75604353500006, -73.98694954399997)",POINT (-73.98694954399997 40.75604353500006),TIMES SQ-42 ST,1237NQRSW,4.57076852010425e-08
3,104703870,103,QUEENS,09/29/2021,10:10:00,09/29/2021,10:14:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,113,FELONY,,FORGERY,,PATROL BORO QUEENS SOUTH,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",TRANSIT - NYC SUBWAY,09/29/2021,PARSONS/ARCHER-JAMAICA CENTER,25-44,BLACK,M,20,UNKNOWN,UNKNOWN,E,1039726,195270,40.70248213,-73.79992225,"(40.702482133000046, -73.799922252)",POINT (-73.799922252 40.702482133000046),JAMAICA CENTER,EJZ,1.0255975274001e-06
4,229485544,44,BRONX,09/26/2021,15:44:00,09/26/2021,15:51:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,113,FELONY,,FORGERY,,PATROL BORO BRONX,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",TRANSIT - NYC SUBWAY,09/26/2021,161 ST.-YANKEE STADIUM,18-24,BLACK,M,11,UNKNOWN,UNKNOWN,E,1004749,240880,40.8278199,-73.92593076,"(40.827819901000055, -73.92593075599996)",POINT (-73.92593075599996 40.827819901000055),161/YANKEE STAD,4BD,1.75402177599273e-07
5,956425746,14,MANHATTAN,09/26/2021,15:00:00,09/26/2021,18:22:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO MAN SOUTH,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",TRANSIT - NYC SUBWAY,09/26/2021,42 ST.-TIMES SQUARE,,,,1,UNKNOWN,UNKNOWN,E,987866,214721,40.75604354,-73.98694954,"(40.75604353500006, -73.98694954399997)",POINT (-73.98694954399997 40.75604353500006),TIMES SQ-42 ST,1237NQRSW,4.57076852010425e-08
6,569759723,18,MANHATTAN,09/23/2021,4:09:00,09/23/2021,4:15:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO MAN SOUTH,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",TRANSIT - NYC SUBWAY,09/23/2021,7 AVENUE,,,,1,UNKNOWN,UNKNOWN,D,989266,217247,40.76297608,-73.98189438,"(40.76297607600002, -73.98189437799994)",POINT (-73.98189437799994 40.76297607600002),7 AV,BQ,2.62809950804953e-07
7,500754116,72,BROOKLYN,09/24/2021,6:43:00,09/24/2021,6:50:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,121,FELONY,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BKLYN SOUTH,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",TRANSIT - NYC SUBWAY,09/24/2021,15 ST.-PROSPECT PARK,UNKNOWN,UNKNOWN,U,30,UNKNOWN,UNKNOWN,D,989916,180044,40.6608623,-73.97957927,"(40.66086229600006, -73.97957927099996)",POINT (-73.97957927099996 40.66086229600006),15 ST-PROSPECT,FG,5.3064759689692e-07
8,449899031,1,MANHATTAN,09/25/2021,22:00:00,09/25/2021,22:10:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,578,VIOLATION,,HARRASSMENT 2,,PATROL BORO MAN SOUTH,637,"HARASSMENT,SUBD 1,CIVILIAN",TRANSIT - NYC SUBWAY,09/25/2021,FULTON STREET,25-44,BLACK,M,2,25-44,ASIAN / PACIFIC ISLANDER,F,982466,197787,40.70956442,-74.00643628,"(40.709564416000035, -74.00643628099994)",POINT (-74.00643628099994 40.709564416000035),FULTON ST,2345ACJZ,4.14180197279581e-06
9,732676250,28,MANHATTAN,09/29/2021,13:53:00,09/29/2021,13:56:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,235,MISDEMEANOR,,DANGEROUS DRUGS,,PATROL BORO MAN NORTH,511,"CONTROLLED SUBSTANCE, POSSESSI",TRANSIT - NYC SUBWAY,09/29/2021,125 STREET,25-44,BLACK,M,3,UNKNOWN,UNKNOWN,E,999342,233575,40.80778062,-73.94548473,"(40.807780622000045, -73.94548472699995)",POINT (-73.94548472699995 40.807780622000045),125 ST,ABCD,5.81139808171326e-05
10,968731511,26,MANHATTAN,09/24/2021,18:18:00,09/24/2021,18:28:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,113,FELONY,,FORGERY,,PATROL BORO MAN NORTH,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",TRANSIT - NYC SUBWAY,09/24/2021,125 STREET,,,,3,UNKNOWN,UNKNOWN,E,997374,234664,40.81077277,-73.95259159,"(40.81077276700007, -73.95259158999993)",POINT (-73.95259158999993 40.81077276700007),125 ST,1,2.78020999901851e-10
